Department,Department Title,Division (Organization Detail within Department),Division Title,Program (Service),Program Title,General Fund Support (GFS) or Self-Supporting Fund,Fund,Subfund Title,Type of Revenue or Expenditure,Character,Character Title,Object,Object Title,Subobject,Subobject Title,FY 2010-2011 Original Budget,FY 2011-2012 Original Budget
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,1,SALARIES,1,PERMANENT SALARIES-MISC,00101,MISC-REGULAR,$2940494.00,$2993940.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,1,SALARIES,5,TEMP SALARIES-MISC,00501,TEMP-REGULAR-MISC,$346000.00,$346000.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,1,SALARIES,9,PREMIUM PAY,00901,PREMIUM PAY - MISC,$52530.00,$52530.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,1,SALARIES,11,OVERTIME,01101,OVERTIME - MISC,$62983.00,$62983.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,1,SALARIES,12,HOLIDAY PAY,01201,HOLIDAY PAY - MISC,$63119.00,$63119.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,13,RETIREMENT,01301,RETIRE CITY MISC,$398733.00,$541605.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,13,RETIREMENT,01371,RETIREMENT PICK UP,$159601.00,$0.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,13,RETIREMENT,01379,RETIREMENT PICK UP(PREM/OTH ADJUSTMENT),$-2595.00,$-2595.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,14,SOCIAL SECURITY,01401,SOCIAL SECURITY (OASDI & HI),$211549.00,$214701.00
AAM,ASIAN ART MUSEUM,AAM01,ASIAN ARTS MUSEUM,EEI,ASIAN ARTS MUSEUM,GFS,1GAGFAAA,GF-NON-PROJECT-CONTROLLED,Gross Expenditures,13,MANDATORY FRINGE BENEFITS,14,SOCIAL SECURITY,01402,SOCIAL SECURITY - MEDICARE (HI ONLY),$50245.00,$51019.00
